TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
       3.730       2.680       6.282       3.164       6.092
       3.740       2.682       6.284       3.167       6.095
       3.750       2.683       6.286       3.169       6.098
       3.760       2.685       6.288       3.172       6.101
       3.770       2.686       6.289       3.174       6.105
       3.780       2.688       6.291       3.177       6.108
       3.790       2.689       6.293       3.179       6.111
       3.800       2.691       6.294       3.182       6.114
       3.810       2.692       6.296       3.184       6.117
       3.820       2.693       6.298       3.187       6.120
       3.830       2.695       6.300       3.189       6.123
       3.840       2.696       6.301       3.192       6.126
       3.850       2.698       6.303       3.194       6.130
       3.860       2.699       6.305       3.197       6.133
       3.870       2.701       6.307       3.199       6.136
       3.880       2.702       6.308       3.202       6.139
       3.890       2.704       6.310       3.204       6.142
       3.900       2.705       6.312       3.207       6.145
       3.910       2.707       6.313       3.209       6.148
       3.920       2.708       6.315       3.212       6.152
       3.930       2.710       6.317       3.214       6.155
       3.940       2.711       6.319       3.217       6.158
       3.950       2.712       6.320       3.219       6.161
       3.960       2.714       6.322       3.222       6.164
       3.970       2.715       6.324       3.224       6.167
       3.980       2.717       6.326       3.227       6.170
       3.990       2.718       6.327       3.229       6.173
       4.000       2.720       6.329       3.232       6.177
       4.010       2.721       6.331       3.234       6.180
       4.020       2.723       6.332       3.237       6.183
       4.030       2.724       6.334       3.240       6.186
       4.040       2.726       6.336       3.242       6.189
       4.050       2.727       6.338       3.245       6.192
       4.060       2.729       6.339       3.247       6.195
       4.070       2.730       6.341       3.250       6.198
       4.080       2.732       6.343       3.252       6.202
       4.090       2.733       6.344       3.255       6.205
       4.100       2.735       6.346       3.257       6.208
       4.110       2.736       6.348       3.260       6.211
       4.120       2.738       6.350       3.263       6.214
       4.130       2.739       6.351       3.265       6.217
       4.140       2.741       6.353       3.268       6.220
       4.150       2.742       6.355       3.270       6.223
       4.160       2.744       6.357       3.273       6.227
       4.170       2.745       6.358       3.275       6.230
       4.180       2.747       6.360       3.278       6.233
       4.190       2.748       6.362       3.281       6.236
       4.200       2.750       6.363       3.283       6.239
       4.210       2.751       6.365       3.286       6.242
       4.220       2.753       6.367       3.288       6.245
       4.230       2.754       6.369       3.291       6.249
       4.240       2.756       6.370       3.294       6.252
       4.250       2.757       6.372       3.296       6.255
       4.260       2.759       6.374       3.299       6.258
       4.270       2.760       6.376       3.301       6.261
       4.280       2.762       6.377       3.304       6.264
       4.290       2.763       6.379       3.307       6.267
       4.300       2.765       6.381       3.309       6.270
       4.310       2.766       6.382       3.312       6.274
       4.320       2.768       6.384       3.314       6.277
       4.330       2.769       6.386       3.317       6.280
       4.340       2.771       6.388       3.320       6.283
       4.350       2.772       6.389       3.322       6.286
       4.360       2.774       6.391       3.325       6.289
       4.370       2.775       6.393       3.328       6.292
       4.380       2.777       6.395       3.330       6.295
       4.390       2.778       6.396       3.333       6.299
       4.400       2.780       6.398       3.335       6.302
       4.410       2.781       6.400       3.338       6.305
       4.420       2.783       6.401       3.341       6.308
       4.430       2.784       6.403       3.343       6.311
       4.440       2.786       6.405       3.346       6.314
       4.450       2.787       6.407       3.349       6.317
       4.460       2.789       6.408       3.351       6.320
       4.470       2.790       6.410       3.354       6.324
       4.480       2.792       6.412       3.357       6.327
       4.490       2.794       6.414       3.359       6.330
       4.500       2.795       6.415       3.362       6.333
       4.510       2.797       6.417       3.364       6.336
       4.520       2.798       6.419       3.367       6.339
       4.530       2.800       6.420       3.370       6.342
       4.540       2.801       6.422       3.372       6.345
       4.550       2.803       6.424       3.375       6.349
       4.560       2.804       6.426       3.378       6.352
       4.570       2.806       6.427       3.380       6.355
       4.580       2.807       6.429       3.383       6.358
       4.590       2.809       6.431       3.386       6.361
       4.600       2.810       6.433       3.388       6.364
       4.610       2.812       6.434       3.391       6.367
       4.620       2.813       6.436       3.394       6.371
       4.630       2.815       6.438       3.396       6.374
       4.640       2.817       6.439       3.399       6.377
       4.650       2.818       6.441       3.402       6.380
       4.660       2.820       6.443       3.405       6.383
       4.670       2.821       6.445       3.407       6.386
       4.680       2.823       6.446       3.410       6.389
       4.690       2.824       6.448       3.413       6.392
       4.700       2.826       6.450       3.415       6.396
       4.710       2.827       6.452       3.418       6.399
       4.720       2.829       6.453       3.421       6.402
       4.730       2.830       6.455       3.423       6.405
       4.740       2.832       6.457       3.426       6.408
       4.750       2.833       6.458       3.429       6.411
